continent,location,date,population,new_vaccinations,RollingPeopleVaccinated
Asia,Afghanistan,5/29/2020,38928341,,
Asia,Afghanistan,5/3/2020,38928341,,
Asia,Afghanistan,5/30/2020,38928341,,
Asia,Afghanistan,5/31/2020,38928341,,
Asia,Afghanistan,5/4/2020,38928341,,
Asia,Afghanistan,5/5/2020,38928341,,
Asia,Afghanistan,5/6/2020,38928341,,
Asia,Afghanistan,5/7/2020,38928341,,
Asia,Afghanistan,5/8/2020,38928341,,
Asia,Afghanistan,5/9/2020,38928341,,
Asia,Afghanistan,6/1/2020,38928341,,
Asia,Afghanistan,6/10/2020,38928341,,
Asia,Afghanistan,6/11/2020,38928341,,
Asia,Afghanistan,6/12/2020,38928341,,
Asia,Afghanistan,6/13/2020,38928341,,
Asia,Afghanistan,6/14/2020,38928341,,
Asia,Afghanistan,6/15/2020,38928341,,
Asia,Afghanistan,6/16/2020,38928341,,
Asia,Afghanistan,6/17/2020,38928341,,
Asia,Afghanistan,6/18/2020,38928341,,
Asia,Afghanistan,6/19/2020,38928341,,
Asia,Afghanistan,6/2/2020,38928341,,
Asia,Afghanistan,6/20/2020,38928341,,
Asia,Afghanistan,6/21/2020,38928341,,
Asia,Afghanistan,6/22/2020,38928341,,
Asia,Afghanistan,6/23/2020,38928341,,
Asia,Afghanistan,6/24/2020,38928341,,
Asia,Afghanistan,6/25/2020,38928341,,
Asia,Afghanistan,6/26/2020,38928341,,
Asia,Afghanistan,6/27/2020,38928341,,
Asia,Afghanistan,6/28/2020,38928341,,
Asia,Afghanistan,6/29/2020,38928341,,
Asia,Afghanistan,6/3/2020,38928341,,
Asia,Afghanistan,6/30/2020,38928341,,
Asia,Afghanistan,6/4/2020,38928341,,
Asia,Afghanistan,6/5/2020,38928341,,
Asia,Afghanistan,6/6/2020,38928341,,
Asia,Afghanistan,6/7/2020,38928341,,
Asia,Afghanistan,6/8/2020,38928341,,
Asia,Afghanistan,6/9/2020,38928341,,
Asia,Afghanistan,7/1/2020,38928341,,
Asia,Afghanistan,7/10/2020,38928341,,
Asia,Afghanistan,7/11/2020,38928341,,
Asia,Afghanistan,7/12/2020,38928341,,
Asia,Afghanistan,7/13/2020,38928341,,
Asia,Afghanistan,7/14/2020,38928341,,
Asia,Afghanistan,7/15/2020,38928341,,
Asia,Afghanistan,7/16/2020,38928341,,
Asia,Afghanistan,7/17/2020,38928341,,
Asia,Afghanistan,7/18/2020,38928341,,
Asia,Afghanistan,7/19/2020,38928341,,
Asia,Afghanistan,7/2/2020,38928341,,
Asia,Afghanistan,7/20/2020,38928341,,
Asia,Afghanistan,7/21/2020,38928341,,
Asia,Afghanistan,7/22/2020,38928341,,
Asia,Afghanistan,7/23/2020,38928341,,
Asia,Afghanistan,7/24/2020,38928341,,
Asia,Afghanistan,7/25/2020,38928341,,
Asia,Afghanistan,7/26/2020,38928341,,
Asia,Afghanistan,7/27/2020,38928341,,
Asia,Afghanistan,7/28/2020,38928341,,
Asia,Afghanistan,7/29/2020,38928341,,
Asia,Afghanistan,7/3/2020,38928341,,
Asia,Afghanistan,7/30/2020,38928341,,
Asia,Afghanistan,7/31/2020,38928341,,
Asia,Afghanistan,7/4/2020,38928341,,
Asia,Afghanistan,7/5/2020,38928341,,
Asia,Afghanistan,7/6/2020,38928341,,
Asia,Afghanistan,7/7/2020,38928341,,
Asia,Afghanistan,7/8/2020,38928341,,
Asia,Afghanistan,7/9/2020,38928341,,
